UniqueID	Strain	CBD=1	Lot Number	Extraction Run	Time (mins)	Col1/2	PSI	Temp (degC)	Program Used 0/1	Mass CO2 Used lbs	Extraction Efficiency THC	Extraction Efficiency CBD	Extraction Efficiency CBN	Input Mass (g)	Output Spent Mass (g)	% Mass Extracted	Spent % (as is) THC	Spent % (as is) CBD	Spent % (as is) CBN	Decarb % (as is) THC	Decarb % (as is) CBD	Decarb % (as is) CBN
207	SK 	0	899	6	140	2	5000	65	1	81	0.9864	1.0000	0.9548	1348.5000	1149.0000	0.1479	0.1314	0.0000	0.0042	9.6578	0.0230	0.0930
208	NL	0	903	1	145	1	5000	65	1	82	0.9788	1.0000	0.9466	1358.6000	1155.0000	0.1499	0.1993	0.0000	0.0135	9.4210	0.0250	0.2530
209	NL	0	903	2	180	2	5000	65	1	69	0.9920	1.0000	0.9688	1338.0000	1146.0000	0.1435	0.0750	0.0000	0.0079	9.4210	0.0250	0.2530
210	NL	0	903	5	110	1	5000	65	1	65	0.9907	1.0000	0.9783	1278.0000	1104.0000	0.1362	0.0874	0.0000	0.0055	9.4210	0.0250	0.2530
211	NL	0	903	6	110	2	5000	65	1	63.5	0.9829	0.8800	0.9557	1168.0000	1003.5000	0.1408	0.1609	0.0030	0.0112	9.4210	0.0250	0.2530
212	NL	0	903	7	110	1	5000	65	1	60	0.9934	1.0000	0.9850	1155.5000	992.0000	0.1415	0.0623	0.0000	0.0038	9.4210	0.0250	0.2530
213	HB	0	931	1	120	1	5000	65	0	55.5	0.9652	1.0000	0.6409	1600.5000	1380.5000	0.1375	0.2933	0.0000	0.0079	8.4190	0.0850	0.0220
214	HB	0	931	2	110	2	5000	65	0	57	0.9548	1.0000	1.0000	1516.0000	1299.0000	0.1431	0.3809	0.0000	0.0000	8.4190	0.0850	0.0220
214	HB	0	931	3	110	1	5000	65	1	54.5	0.9516	1.0000	0.5773	1414.0000	1257.5000	0.1107	0.4074	0.0000	0.0093	8.4190	0.0850	0.0220
215	HB	0	931	4	105	2	5000	65	1	57	0.9652	1.0000	0.6409	1518.5000	1320.0000	0.1307	0.2933	0.0000	0.0079	8.4190	0.0850	0.0220
216	HB	0	931	5	115	1	5000	65	1	57	0.9716	1.0000	0.7000	1582.5000	1367.0000	0.1362	0.2391	0.0000	0.0066	8.4190	0.0850	0.0220
217	HB	0	931	6	130	2	5000	65	1	57	0.9616	1.0000	0.6045	1574.0000	1370.5000	0.1293	0.3233	0.0000	0.0087	8.4190	0.0850	0.0220
218	SB	0	545	1	150	1	5000	65	1	70	0.9220	1.0000	0.4036	1452.5000	1268.0000	0.1270	0.9015	0.0000	0.0835	11.5600	0.0100	0.1400
220	SB	0	545	4	160	2	5000	65	1	80	0.8522	1.0000	-0.1400	1593.0000	1284.0000	0.1940	1.7081	0.0000	0.1596	11.5600	0.0100	0.1400
221	NN	1	981	1	90	1	5000	65	1	52.5	0.9588	0.9734	1.0000	1765.0000	1544.0000	0.1252	0.0145	0.1938	0.0000	0.3520	7.2870	0.0100
222	NN	1	981	2	100	2	5000	65	1	57.5	0.9523	0.9670	1.0000	1717.5000	1601.5000	0.0675	0.0168	0.2406	0.0000	0.3520	7.2870	0.0100
223	NN	1	981	3	95	1	5000	65	2	54	0.9926	0.9885	1.0000	1655.0000	1473.5000	0.1097	0.0026	0.0840	0.0000	0.3520	7.2870	0.0100
224	NN	1	981	4	100	2	5000	65	1	55.5	0.9926	0.9775	1.0000	1652.5000	1490.5000	0.0980	0.0026	0.1640	0.0000	0.3520	7.2870	0.0100
225	NN	1	981	5	130	1	5000	65	1	53.5	0.9727	0.9871	1.0000	1736.0000	1557.0000	0.1031	0.0096	0.0939	0.0000	0.3520	7.2870	0.0100
226	NN	1	981	6	90	1	5000	65	1	50	0.9713	0.9778	1.0000	1425.5000	1277.5000	0.1038	0.0101	0.1620	0.0000	0.3520	7.2870	0.0100
226	NN	1	981	7	90	2	5000	65	1	50	0.9190	0.9436	1.0000	1374.5000	1233.5000	0.1026	0.0285	0.4109	0.0000	0.3520	7.2870	0.0100
227	NN	1	982	1	100	1	5000	65	1	58.5	0.9697	0.9777	1.0000	1545.0000	1388.5000	0.1013	0.0091	0.1413	0.0000	0.3000	6.3390	0.0012
228	NN	1	982	2	85	1	5000	65	1	50	0.9893	0.9862	1.0000	1711.5000	1473.5000	0.1391	0.0032	0.0873	0.0000	0.3000	6.3390	0.0012
230	NN	1	982	4	90	1	5000	65	1	50	0.9460	0.9686	1.0000	1860.0000	1629.5000	0.1239	0.0162	0.1988	0.0000	0.3000	6.3390	0.0012
231	NN	1	982	5	85	1	5000	65	1	50	0.9167	0.9508	-1.9167	1722.5000	1553.0000	0.0984	0.0250	0.3119	0.0035	0.3000	6.3390	0.0012
232	NN	1	982	6	110	2	5000	65	1	53.5	0.9457	0.9644	-1.4167	1726.5000	1583.5000	0.0828	0.0163	0.2258	0.0029	0.3000	6.3390	0.0012
233	NN	1	982	7	90	1	5000	65	1	51.5	0.8770	0.9328	-2.5000	1720.0000	1570.5000	0.0869	0.0369	0.4258	0.0042	0.3000	6.3390	0.0012
234	NN	1	982	8	100	2	5000	65	1	50	0.9737	0.9784	1.0000	1629.5000	1473.5000	0.0957	0.0079	0.1372	0.0000	0.3000	6.3390	0.0012
235	NN	1	982	9	90	1	5000	65	1	50.5	0.9563	0.9726	1.0000	1618.0000	1461.5000	0.0967	0.0131	0.1738	0.0000	0.3000	6.3390	0.0012
236	TI	1	984	1	100	1	5000	65	1	61	0.9406	0.9679	1.0000	1600.5000	1292.5000	0.1924	0.0300	0.4329	0.0000	0.5052	13.5030	0.0098
234	TI	1	984	2	84	2	5000	65	1	50.5	0.9658	0.9768	1.0000	1489.0000	1215.0000	0.1840	0.0173	0.3136	0.0000	0.5052	13.5030	0.0098
235	TI	1	984	3	100	1	5000	45	1	50.5	0.8165	0.9166	1.0000	1518.0000	1264.5000	0.1670	0.0927	1.1260	0.0000	0.5052	13.5030	0.0098
236	TI	1	984	4	117	2	5000	45	1	59.5	0.9515	0.9819	1.0000	1576.5000	1266.5000	0.1966	0.0245	0.2439	0.0000	0.5052	13.5030	0.0098
237	TI	1	984	5	130	1	5000	65	1	59	0.9276	0.9661	1.0000	1381.0000	1114.5000	0.1930	0.0366	0.4579	0.0000	0.5052	13.5030	0.0098
238	TI	1	984	6	121	1	5000	65	1	51.5	0.8858	0.9483	1.0000	1517.0000	1230.5000	0.1889	0.0577	0.6987	0.0000	0.5052	13.5030	0.0098
239	TI	1	984	7	114	2	5000	85	1	49.5	0.9101	0.9598	1.0000	1681.0000	1351.0000	0.1963	0.0454	0.5427	0.0000	0.5052	13.5030	0.0098
240	TI	1	994	1	100	1	5000	65	1	55	0.9781	0.9866	1.0000	1618.0000	1309.0000	0.1910	0.0104	0.1653	0.0000	0.4752	12.3758	0.0113
241	TI	1	994	2	120	2	5000	65	1	70.5	0.9710	0.9774	1.0000	1605.0000	1293.0000	0.1944	0.0138	0.2796	0.0000	0.4752	12.3758	0.0113
242	TI	1	994	3	110	1	5000	65	1	55	0.9888	0.9898	1.0000	1725.5000	1382.0000	0.1991	0.0053	0.1267	0.0000	0.4752	12.3758	0.0113
243	TI	1	994	4	125	2	5000	65	1	58.5	0.9638	0.9818	1.0000	1610.5000	1301.0000	0.1922	0.0172	0.2252	0.0000	0.4752	12.3758	0.0113
244	TI	1	994	5	110	1	5000	65	1	50	0.8887	0.9654	1.0000	1588.0000	1277.5000	0.1955	0.0529	0.4285	0.0000	0.4752	12.3758	0.0113
245	TI	1	994	7	120	1	5000	65	1	55	0.9266	0.9610	1.0000	1602.0000	1267.0000	0.2091	0.0349	0.4821	0.0000	0.4752	12.3758	0.0113
246	TI	1	994	6	120	2	5000	65	1	63.5	0.7919	0.8759	1.0000	1535.0000	1264.5000	0.1762	0.0989	1.5354	0.0000	0.4752	12.3758	0.0113
247	NN	1	983	1	125	1	5000	65	1	50	0.9266	0.9590	0.7067	1554.0000	1438.0000	0.0746	0.0224	0.2727	0.0044	0.3050	6.6460	0.0150
248	NN	1	983	2	140	2	5000	65	1	58	0.9259	0.9478	1.0000	1571.5000	1443.0000	0.0818	0.0226	0.3469	0.0000	0.3050	6.6460	0.0150
249	NN	1	983	3	115	1	5000	65	1	50	0.9826	0.9815	1.0000	1593.0000	1449.0000	0.0904	0.0053	0.1229	0.0000	0.3050	6.6460	0.0150
250	NN	1	983	4	90	2	5000	65	1	50	0.8931	0.9356	0.6067	1664.0000	1507.5000	0.0941	0.0326	0.4282	0.0059	0.3050	6.6460	0.0150
251	NN	1	983	5	90	1	5000	65	1	59	0.9672	0.9676	1.0000	1681.5000	1531.5000	0.0892	0.0100	0.2151	0.0000	0.3050	6.6460	0.0150
252	NN	1	983	6	110	2	5000	65	1	59	0.8295	0.8831	0.1200	1577.0000	1439.0000	0.0875	0.0520	0.7770	0.0132	0.3050	6.6460	0.0150
253	NN	1	983	7	90	1	5000	65	1	51.5	1.0000	0.9893	1.0000	1599.0000	1438.0000	0.1007	0.0000	0.0708	0.0000	0.3050	6.6460	0.0150
254	NN	1	983	8	115	2	5000	65	1	50.5	0.9889	0.9848	1.0000	1529.5000	1399.0000	0.0853	0.0034	0.1008	0.0000	0.3050	6.6460	0.0150
255	NN	1	983	9	100	1	5000	65	1	50	0.9630	0.9726	1.0000	1488.0000	1366.0000	0.0820	0.0113	0.1824	0.0000	0.3050	6.6460	0.0150
256	NN	1	983	10	110	2	5000	65	1	53.5	0.9849	0.9829	1.0000	1351.0000	1265.0000	0.0637	0.0046	0.1137	0.0000	0.3050	6.6460	0.0150
257	N2	1	1007	1	110	1	5000	65	1	50	1.0000	0.9791	1.0000	1687.5000	1391.0000	0.1757	0.0000	0.2502	0.0000	0.5765	11.9855	0.0077
258	N2	1	1007	2	100	2	5000	65	1	50.5	1.0000	0.8636	1.0000	1603.0000	1345.5000	0.1606	0.0000	1.6346	0.0000	0.5765	11.9855	0.0077
259	N2	1	1007	3	130	1	5000	65	1	50	0.9960	0.9897	1.0000	1669.0000	1366.5000	0.1812	0.0023	0.1240	0.0000	0.5765	11.9855	0.0077
260	N2	1	1007	4	130	2	5000	65	1	62	0.9818	0.9883	1.0000	1665.0000	1344.5000	0.1925	0.0105	0.1404	0.0000	0.5765	11.9855	0.0077
261	N2	1	1007	5	120	1	5000	65	1	50	0.9955	0.9908	-0.2468	1682.0000	1411.0000	0.1611	0.0026	0.1100	0.0096	0.5765	11.9855	0.0077
262	N2	1	1007	6	120	2	5000	65	1	50	0.9605	0.9713	1.0000	1575.0000	1327.0000	0.1575	0.0228	0.3439	0.0000	0.5765	11.9855	0.0077
263	N2	1	1008	1	120	1	5000	65	1	54	0.8234	0.9151	0.0000	1737.0000	1405.0000	0.1911	0.1010	1.2834	0.0031	0.5720	15.1230	0.0000
266	N2	1	1008	4	150	2	5000	65	1	58.5	0.8110	0.9041	0.0000	1745.5000	1432.0000	0.1796	0.1081	1.4498	0.0075	0.5720	15.1230	0.0000
267	N2	1	1008	5	160	1	5000	65	1	67	0.7914	0.9156	0.0000	1752.0000	1416.0000	0.1918	0.1193	1.2760	0.0000	0.5720	15.1230	0.0000
270	CBD	1	1020	1	130	1	5000	65	1	75	0.9071	0.9589	1.0000	1714.5000	1503.0000	0.1234	0.0560	0.4824	0.0000	0.6030	11.7320	0.0021
271	CBD	1	1020	3	140	1	5000	65	1	70	0.9133	0.9697	-0.5238	1715.0000	1510.5000	0.1192	0.0523	0.3558	0.0032	0.6030	11.7320	0.0021
272	CBD	1	1020	4	140	2	5000	65	1	70	0.8537	0.9239	-0.8095	1775.0000	1462.5000	0.1761	0.0882	0.8923	0.0038	0.6030	11.7320	0.0021
273	CBD	1	1020	5	140	1	5000	65	1	70	0.8828	0.9540	-1.2857	1715.5000	1441.5000	0.1597	0.0707	0.5395	0.0048	0.6030	11.7320	0.0021
274	CBD	1	1021	3	150	1	5000	65	1	75	0.9825	0.9874	1.0000	1633.5000	1369.5000	0.1616	0.0198	0.1512	0.0000	1.1340	11.9650	0.0270
275	CBD	1	1021	4	150	2	5000	65	1	70.5	0.9790	0.9851	1.0000	1646.5000	1319.0000	0.1989	0.0238	0.1782	0.0000	1.1340	11.9650	0.0270
276	CBD	1	1021	7	150	1	5000	65	1	66	0.9427	0.9692	1.0000	1512.0000	1189.5000	0.2133	0.0650	0.3690	0.0000	1.1340	11.9650	0.0270
277	CBD	1	1021	8	150	2	5000	65	1	52	0.9780	0.9803	1.0000	1259.5000	1030.0000	0.1822	0.0250	0.2360	0.0000	1.1340	11.9650	0.0270
278	CBD	1	1022	1	110	1	5000	65	1	60	0.8590	0.9720	0.7000	1525.0000	1267.0000	0.1692	0.0780	0.3380	0.0060	0.5530	12.0880	0.0200
279	CBD	1	1022	2	130	2	5000	65	1	55	0.9476	0.9729	1.0000	1621.5000	1337.0000	0.1755	0.0290	0.3270	0.0000	0.5530	12.0880	0.0200
278	CBD	1	1022	3	130	1	5000	65	1	50	0.8409	0.9185	1.0000	1543.5000	1304.0000	0.1552	0.0880	0.9850	0.0000	0.5530	12.0880	0.0200
279	CBD	1	1022	4	95	2	5000	65	1	45.5	0.9005	0.9330	1.0000	1617.0000	1354.0000	0.1626	0.0550	0.8100	0.0000	0.5530	12.0880	0.0200
280	CBD	1	1022	5	120	1	5000	65	1	40	0.8698	0.9520	1.0000	1686.0000	1425.0000	0.1548	0.0720	0.5800	0.0000	0.5530	12.0880	0.0200
281	CBD	1	1022	6	90	2	5000	65	1	40	0.8843	0.9438	1.0000	1435.0000	1195.0000	0.1672	0.0640	0.6790	0.0000	0.5530	12.0880	0.0200
282	CBD	1	1022	7	90	1	5000	65	1	40	0.8137	0.9090	1.0000	1417.0000	1226.0000	0.1348	0.1030	1.1000	0.0000	0.5530	12.0880	0.0200
283	CBD	1	1022	8	120	2	5000	65	1	40	0.7089	0.8440	0.7000	1347.0000	1158.5000	0.1399	0.1610	1.8860	0.0060	0.5530	12.0880	0.0200
284	BW	1	1032	1	85	1	5000	65	1	45	0.7321	0.8887	1.0000	1502.0000	1214.0000	0.1917	1.6297	1.1243	0.0000	6.0830	10.0980	0.0770
285	BW	1	1032	2	100	2	5000	65	1	51.5	0.8890	0.9520	0.8558	1527.0000	1224.0000	0.1984	0.6750	0.4851	0.0111	6.0830	10.0980	0.0770
286	BW	1	1032	3	100	2	5000	65	1	59	0.7905	0.9175	0.7338	1503.5000	1167.5000	0.2235	1.2744	0.8326	0.0205	6.0830	10.0980	0.0770
287	BW	1	1032	4	110	1	5000	65	1	55	0.8628	0.9341	0.8052	1545.0000	1242.0000	0.1961	0.8348	0.6656	0.0150	6.0830	10.0980	0.0770
288	BW	1	1032	5	130	2	5000	65	1	55	0.5561	0.8043	0.4636	1508.5000	1206.5000	0.2002	2.7005	1.9762	0.0413	6.0830	10.0980	0.0770
289	BW	1	1032	6	130	1	5000	65	1	60.5	0.9489	0.9754	0.9117	1524.0000	1159.0000	0.2395	0.3108	0.2484	0.0068	6.0830	10.0980	0.0770
290	BW	1	1032	7	130	2	5000	65	1	60	0.8742	0.9497	0.7675	1503.0000	1167.0000	0.2236	0.7655	0.5083	0.0179	6.0830	10.0980	0.0770
291	BW	1	1032	8	120	1	5000	65	1	60	0.9364	0.9666	0.8831	1512.5000	1168.0000	0.2278	0.3867	0.3371	0.0090	6.0830	10.0980	0.0770
292	BW	1	1032	9	130	2	5000	65	1	60	0.7668	0.8694	0.7481	1570.5000	1238.0000	0.2117	1.4186	1.3187	0.0194	6.0830	10.0980	0.0770
293	BW	1	1032	10	130	1	5000	65	1	60	0.9809	0.9889	1.0000	1503.0000	1173.0000	0.2196	0.1160	0.1120	0.0000	6.0830	10.0980	0.0770
294	BW	1	1032	11	100	2	5000	65	1	45.5	0.9102	0.9611	1.0000	1090.0000	856.0000	0.2147	0.5460	0.3930	0.0000	6.0830	10.0980	0.0770
295	SK 	0	1028	1	145	1	5000	65	1	70.5	0.9576	1.0000	0.9029	1500.5000	1160.0000	0.2269	0.6186	0.0000	0.0132	14.5910	0.2290	0.1360
297	SK 	0	1028	3	155	1	5000	65	1	75	0.9897	1.0000	0.9500	1640.0000	1372.0000	0.1634	0.1496	0.0000	0.0068	14.5910	0.2290	0.1360
298	SK 	0	1028	4	140	2	5000	65	1	65.5	0.8711	1.0000	0.4816	1526.0000	1269.5000	0.1681	1.8810	0.0000	0.0705	14.5910	0.2290	0.1360
299	SK 	0	1028	5	150	1	5000	65	1	70	0.9625	1.0000	1.0000	1400.5000	1152.5000	0.1771	0.5472	0.0000	0.0000	14.5910	0.2290	0.1360
300	SK 	0	1028	6	150	2	5000	65	1	70	0.9146	1.0000	0.7132	1457.5000	1177.5000	0.1921	1.2454	0.0000	0.0390	14.5910	0.2290	0.1360
301	SK 	0	1028	7	145	1	5000	65	1	70	0.9400	1.0000	0.8676	1409.5000	1215.5000	0.1376	0.8758	0.0000	0.0180	14.5910	0.2290	0.1360
302	SK 	0	1028	8	145	2	5000	65	1	70	0.9532	1.0000	0.8596	1424.0000	1247.0000	0.1243	0.6826	0.0000	0.0191	14.5910	0.2290	0.1360
303	SK 	0	1028	9	150	1	5000	65	1	70	0.9941	1.0000	0.7647	1466.0000	1206.0000	0.1774	0.0860	0.0000	0.0320	14.5910	0.2290	0.1360
304	SK 	0	1028	10	150	2	5000	65	1	70	0.9972	1.0000	0.5368	1313.0000	1096.0000	0.1653	0.0410	0.0000	0.0630	14.5910	0.2290	0.1360
309	SK 	0	1029	4	160	2	5000	65	1	80	0.9771	1.0000	0.9371	1452.0000	1131.0000	0.2211	0.3510	0.0000	0.0100	15.3030	0.0350	0.1590
310	SK 	0	1029	5	160	1	5000	65	1	80	0.9170	1.0000	0.8302	1492.0000	1202.0000	0.1944	1.2700	0.0000	0.0270	15.3030	0.0350	0.1590
311	SK 	0	1029	6	160	2	5000	65	1	80	0.9516	1.0000	0.8679	1428.5000	1166.5000	0.1834	0.7410	0.0000	0.0210	15.3030	0.0350	0.1590
312	SK 	0	1029	7	160	1	5000	65	1	80	0.9703	1.0000	0.9182	1328.5000	1066.0000	0.1976	0.4550	0.0000	0.0130	15.3030	0.0350	0.1590
313	BW	1	1037	1	115	1	5000	65	1	60	0.9462	0.9836	1.0000	1608.5000	1258.5000	0.2176	0.3384	0.1755	0.0000	6.2940	10.7270	0.0650
314	BW	1	1037	2	110	2	5000	65	1	60	0.9666	0.9842	1.0000	1627.0000	1240.0000	0.2379	0.2101	0.1700	0.0000	6.2940	10.7270	0.0650
315	BW	1	1037	3	120	1	5000	65	1	61.5	0.9600	0.9803	1.0000	1581.5000	1223.5000	0.2264	0.2520	0.2109	0.0000	6.2940	10.7270	0.0650
316	BW	1	1037	4	125	2	5000	65	1	55.5	0.9340	0.9699	1.0000	1660.0000	1293.5000	0.2208	0.4156	0.3229	0.0000	6.2940	10.7270	0.0650
317	BW	1	1037	5	100	1	5000	65	1	55	0.9196	0.9631	1.0000	1528.0000	1196.0000	0.2173	0.5061	0.3954	0.0000	6.2940	10.7270	0.0650
318	BW	1	1037	6	95	2	5000	65	1	50	0.9481	0.9767	1.0000	1498.5000	1161.0000	0.2252	0.3269	0.2496	0.0000	6.2940	10.7270	0.0650
319	BW	1	1035	1	90	1	5000	65	1	50	0.8965	0.9568	0.6721	1624.0000	1327.0000	0.1829	0.6230	0.4390	0.0200	6.0180	10.1550	0.0610
320	BW	1	1035	2	130	2	5000	65	1	65.5	0.8252	0.9201	0.5246	1651.0000	1339.0000	0.1890	1.0520	0.8110	0.0290	6.0180	10.1550	0.0610
321	BW	1	1035	3	90	1	5000	65	1	50	0.9523	0.9771	0.8197	1607.5000	1253.5000	0.2202	0.2870	0.2330	0.0110	6.0180	10.1550	0.0610
322	BW	1	1035	4	90	2	5000	65	1	50	0.9497	0.9746	0.8197	1618.0000	1313.0000	0.1885	0.3030	0.2580	0.0110	6.0180	10.1550	0.0610
323	BW	1	1035	5	130	1	5000	65	1	66	0.8234	0.9163	0.5574	1608.0000	1310.0000	0.1853	1.0630	0.8500	0.0270	6.0180	10.1550	0.0610
324	BW	1	1035	6	95	2	5000	65	1	50.5	0.9337	0.9704	0.8197	1595.5000	1265.5000	0.2068	0.3990	0.3010	0.0110	6.0180	10.1550	0.0610
325	BW	1	1035	7	120	1	5000	65	1	55	0.9526	0.9813	1.0000	1590.0000	1221.0000	0.2321	0.2850	0.1900	0.0000	6.0180	10.1550	0.0610
326	BW	1	1035	8	100	2	5000	65	1	52	0.9355	0.9692	0.8033	1621.5000	1324.5000	0.1832	0.3880	0.3130	0.0120	6.0180	10.1550	0.0610
327	BW	1	1035	9	100	1	5000	65	1	50	0.8048	0.9192	0.3115	1662.0000	1329.5000	0.2001	1.1750	0.8210	0.0420	6.0180	10.1550	0.0610
328	BW	1	1035	10	120	2	5000	65	1	56.5	0.9907	0.9924	1.0000	1537.0000	1222.0000	0.2049	0.0560	0.0770	0.0000	6.0180	10.1550	0.0610
329	HB	0	1086	1	105	1	5000	65	1	65	0.9546	1.0000	0.8992	1538.0000	1297.0000	0.1567	0.4610	0.0000	0.0490	10.1589	0.0308	0.4862
330	HB	0	1086	2	110	2	5000	65	1	60	0.9544	1.0000	0.9095	1538.0000	1307.5000	0.1499	0.4630	0.0000	0.0440	10.1589	0.0308	0.4862
331	HB	0	1086	3	130	1	5000	65	1	60	0.9307	1.0000	0.8725	1530.5000	1311.0000	0.1434	0.7040	0.0000	0.0620	10.1589	0.0308	0.4862
